Well, we @ could @ spare your life.	well, we @ can @ spare your life.
I'm not gonna @ have a child... ...with the same genetic disorder as me @ that makes them die.	I'm not gonna @ have kids with a genetic disorder @ that makes them die.
I think you're @ the strangest man @ I've ever met.	I think you're @ the weirdest person @ I've ever met.
I mean, I think @ it's totally batshit crazy @ I'm talking to you.	I mean, I think @ it's fucking crazy @ I'm talking to you.
Hey, leave the @ poor bastard @ alone!	Hey, leave the @ poor man @ alone!
"Could you @ please be quiet, Miss Lavish?" @ said Moist.	"could you @ keep your mouth shut, Miss Opulent?" @ said Moist.
And I'm not just @ talking about you punching me over your boyfriend, @ the girlfriend.	and I'm not just @ talking about hitting me for your boyfriend, @ the girlfriend.
You @ imply she's the @ devil's maid.	you @ mean she's the @ devil's maid.
His only crime @ was standing up to that bastard @ McBride.	his only crime @ was that he stood up to this little @ McBride.
Don't @ you even turn around, you... @ you pussy.	don't @ even look back, you... @ you pussy.
I don't @ give a fuck about @ her.	I don't @ care about @ her.
You knew @ I wanted you gone, @ yet you stayed.	you knew @ I wanted to get rid of you, @ yet you stayed.
Get in, @ hit him hard, @ and get out fast.	get in, @ strike, @ and get out fast.
A young @ con man stealing from the wealthy of @ New York.	a young @ man who's robbing rich kids in @ New York.
This is one of @ the most painful fucking experiences @ of my life.	this is one of @ the worst situations @ of my life.
It tastes @ like a crappy cup of @ coffee.	it tastes @ nothing like @ coffee.
I don't @ give a fuck @ who your uncle is.	I don't @ care @ who your uncle is.
She found some @ pimps, lowlifes, druggies and bikers @ in L.A.	she found some @ pimps, thugs, and junkies @ in L.A.
this @ is a big @ door.	this @ is a big fucking @ door.
But it turns out @ I happen to be a girl who's terrible @ at math.	but it turns out @ I'm a girl who's terrible @ at math.
These cowards @ will not say what @ I can and can't do.	these cowards @ won't dictate what @ I can and can't do.
Take him down to the Lake of the Thousand Dead Warriors and @ there let him atone @ for genocide!	take him down to the Lake of the Thousand Dead Warriors and @ leave him there to bury him @ for genocide!
I'm not @ setting him loose @ so he can kill again.	I'm not @ letting him out @ so he can kill again.
So he @ is not going to @ kill you?	so he @ won't @ kill you?
If you @ answer my questions with an irrational response, @ I will shock you.	if you @ don't logically answer my questions, @ I will shock you.
You probably didn't even realize @ you were making them when you were choking her @ from behind.	you probably didn't even realize @ you did it when you strangled her @ from behind.
I've seen what @ the White Witch @ can do.	I've seen what @ the Sorceress @ can do.
In the latest edition of the DSM published by the American Psychiatric Association, @ 'Transsexuality' is listed as a @ mental illness.	in the latest edition of the DSM published by the American Psychiatric Association, @ transsexuals are classified as... people with @ mental illness.
Be @ a sweetheart and shove him @ out the window.	be @ nice and throw him @ out the window.
Maybe today's @ the day it all comes back to bite us @ in the butt.	maybe today's @ the day when it turns against us and bites us @ in the butt.
It's @ full up with, like, gold and silver and, like, @ jewelry.	it's @ stuffed with shit like gold, silver and @ jewelry.
She's @ in the ground because @ of you.	she's @ dead because @ of you.
Just @ shoot, @ okay?	just @ fire away, @ okay?
When Jenny was a freshman, @ Chuck tried to force himself on her @ at a party.	when Jenny was a freshman, @ Chuck tried to get her to have sex @ at a party.
Come on, @ give me a chance. @ You don't even know me.	come on, @ give me a shot. @ You don't even know me.
You @ were fucking using @ me!	you @ took advantage of @ me!
You know @ that bullet you fished out @ of him?	you know @ the bullet you took out @ of him?
I'd be @ a guy with rad parents who fucking loves doing @ drugs.	I'd be @ a guy with a cool parent who loves @ drugs.
Wait, you have @ a son who sucks, @ right?	wait, you have @ a worthless son, @ right?
How @ do I get deleted Instagram @ chats?	how @ can I view deleted Instagram @ chats?
Which @ business is good start up @ in Hyderabad?	Which @ business is better to start @ in Hyderabad?
Don't @ ever talk to me during @ my time!	don't @ fucking talk to me in @ my time!
You know what they say @ . You play the game too long, you start seeing @ things.	you know what they say @ when you play something too long... you start to see @ things.
You call me a traitor @ ; but I guess there's many a thousand will call me a deliverer that went down into hell @ to save them.	you call me a traitor @ , but I think thousands of people will call me the liberator who went down to hell @ to save them.
Then @ you'd better lose @ him.	then @ you better get rid of @ him.
